fiscal_year,ticker,revenue_bn,net_income_bn,total_assets_bn,revenue_growth_pct,roe_pct,roa_pct,net_margin_pct,debt_to_equity,current_ratio,asset_turnover,fcf_bn,ebitda_margin_pct
2018,NVDA,9.714,,,,,,,,,,,
2020,NVDA,10.918,0.95,17.315,12.394482190652667,7.784333005571943,5.486572336124747,8.701227331013007,0.4187971156997706,7.673766816143497,0.630551544903263,,29.556695365451546
2021,NVDA,16.675,4.332,28.791,52.72943762593882,25.64375776949032,15.04636865687194,25.979010494752625,0.7043153969099627,4.090445859872611,0.5791740474453823,,33.76311844077961
2022,NVDA,26.914,9.752,44.187,61.403298350824585,36.64512250112731,22.069839545567703,36.23393029649996,0.6604163535247257,6.650288350634371,0.6090931721999683,,41.66976294865126
2023,NVDA,26.974,4.368,41.182,0.22293230289069932,19.763811592235644,10.606575688407558,16.193371394676355,0.8633545993393964,3.515617857687033,0.6549949006847652,,21.3835545339957
2024,NVDA,60.922,29.76,65.728,125.85452658115224,69.24472986178975,45.277507302823764,48.84934834706674,0.529340592861464,4.171291505973097,0.9268804771178188,,56.59696004727356
2025,NVDA,130.497,72.88,111.601,114.20340763599354,91.87288060811576,65.30407433625147,55.848027157712444,0.4068476054811098,4.439851498864077,1.169317479234057,,63.84591216656321
2019,AMD,2.127,0.17,6.028,,6.013441811107181,2.8201725282017254,7.992477668077104,,1.9487070792708774,0.3528533510285335,0.276,26.79830747531735
2020,AMD,9.763,2.49,8.962,359.00329102021624,42.65890011992462,27.783976790894886,25.504455597664656,,2.5415804716590813,1.0893773711225172,0.777,
2021,AMD,16.434,3.162,12.419,68.32940694458671,42.17687074829932,25.4609871970368,19.240598758671048,,2.024292452830189,1.3232949512843224,3.22,
2022,AMD,23.601,1.32,67.58,43.61080686381891,2.410958904109589,1.9532406037289138,5.592983348163213,,2.358140995446695,0.3492305415803492,3.115,
2023,AMD,22.68,0.854,67.885,-3.9023770179229644,1.5279467544550203,1.2580098696324666,3.7654320987654324,,2.506802212587831,0.33409442439419607,1.121,
2024,AMD,25.785,1.641,69.226,13.690476190476186,2.8505419677598667,2.370496634212579,6.364165212332752,,2.6162615025408598,0.3724756594343166,2.405,
2025,AMD,34.639,4.335,76.926,34.33779329067288,6.881061604152447,5.635285859137353,12.514795461762754,,2.850026441036489,0.4502898889842186,6.735,
2019,INTC,71.965,21.048,136.524,,27.157308009909165,15.417069526237146,29.24755089279511,,1.4002241147467502,0.5271234361723945,16.932,30.89696380184812
2020,INTC,77.867,20.899,153.091,8.201208921003268,25.789135960907227,13.651357689217525,26.839354283586115,,1.908742021491476,0.5086321207647739,21.605,
2021,INTC,79.024,19.868,168.406,1.4858669269395275,20.82796070908157,11.797679417597948,25.141729094958492,,2.1323283082077054,0.4692469389451682,10.723,
2022,INTC,63.054,8.014,182.103,-20.20905041506378,7.901560789958885,4.400806137186098,12.709740857043169,,1.5676255636759446,0.3462545921813479,-9.411,
2023,INTC,54.228,1.689,191.572,-13.997525930155108,1.5995832938725258,0.8816528511473493,3.114627129895995,,1.5424018821516416,0.2830685068799198,-14.279,
2024,INTC,53.101,-18.756,196.485,-2.078262152393595,-18.893925657298276,-9.545766852431484,-35.321368712453626,,1.3268659227275277,0.2702547268239306,-15.656,
2025,INTC,52.853,-0.267,211.429,-0.46703451912393223,-0.23363463742879392,-0.12628352780365987,-0.5051747299112632,,2.017038796516231,0.24997989868939455,-4.949,
2016,AVGO,13.24,-1.739,,,,,-13.134441087613293,,,,,
2017,AVGO,4.844,0.532,,-63.41389728096677,2.622627557308356,,10.982658959537572,,,,,
2018,AVGO,5.444,1.115,,12.386457473162672,4.182766252766628,,20.48126377663483,,,,,
2019,QCOM,5.077,4.386,32.957,,89.34609900183337,13.308250144127195,86.38960015757337,5.7135872886534935,1.8763290430889759,0.15404921564462784,6.1931,47.88260783927516
2020,QCOM,8.346,5.198,35.594,64.38841835729762,,14.603584873855144,62.281332374790324,,2.1354935424354244,0.23447772096420746,4.9419,58.05176132278936
2021,QCOM,33.566,9.043,41.24,302.18068535825546,,21.927740058195926,26.94095215396532,,1.6797757509831812,0.8139185257032008,8.9556,33.87654173866412
2022,QCOM,44.2,12.936,49.014,31.680867544539115,,26.392459297343617,29.266968325791854,,1.7465026125063206,0.9017831639939609,7.7316,39.86877828054299
2023,QCOM,35.82,7.232,51.04,-18.959276018099548,,14.169278996865204,20.189838079285316,,2.333194848358953,0.7018025078369906,9.60415,26.792294807370183
2024,QCOM,38.962,10.142,55.154,8.771635957565604,,18.38851216593538,26.030491247882555,,2.402037319116527,0.7064220183486238,10.3717,30.226887736769157
2025,QCOM,44.284,5.541,50.143,13.659463066577683,,11.05039586781804,12.51241983560654,,2.8164916885389326,0.8831541790479229,11.9102,31.517026465540603
2016,MU,3.97,,,,,,,,,,,
2017,MU,6.803,,,71.36020151133502,,,,,,,,
2018,MU,8.44,,,24.06291342054976,,,,,,,,
2016,AMAT,10.825,,,,,,,,,,,
2017,AMAT,3.969,,,-63.334872979214786,,,,,,,,
2018,AMAT,4.014,,,1.133786848072571,,,,,,,,
2019,AMAT,3.754,0.698,19.024,-6.477329347284499,8.497686876065254,3.6690496215306982,18.593500266382527,1.316045775505235,2.295030357544412,0.19732968881412952,2.806,98.907831646244
2009,LRCX,1.115946,,,,,,,,,,,
2010,LRCX,2.133776,,,91.20781829945177,,,,,,,,
2011,LRCX,3.237693,,,51.7353742848359,,,,,,,,
2019,KLAC,1.509453,0.380555,9.008516,,14.31137810122793,4.224391675610057,25.211450770577155,2.3808070225052913,2.4399825613547406,0.1675584524687529,1.022134,
