ticker,fiscal_year,revenue_bn,net_income_bn,total_assets_bn,revenue_growth_pct,roe_pct,roa_pct,net_margin_pct,debt_to_equity,current_ratio,asset_turnover,fcf_bn,ebitda_margin_pct,upside_pct,prob_above_mktcap,base_growth_pct,s_roe,s_roa,s_margin,s_de,s_cr,s_at,s_rev,s_upside,s_prob,s_fcfg,score_quality,score_solvency,score_growth,composite_score,rating,rank
NVDA,2025,130.497,72.88,111.601,114.20340763599354,91.87288060811576,65.30407433625147,55.848027157712444,0.4068476054811098,4.439851498864077,1.169317479234057,,63.84591216656321,-99.26949473647248,0.0,40.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,10.0,15.0,100.0,100.0,96.0,47.2,80.5,OVERWEIGHT,1
KLAC,2025,12.156162,4.061643,16.067926,23.887647752854168,86.55692449130551,25.277954354532127,33.41221513829776,2.4242060602418394,2.618532990519593,0.7565482937872628,3.746644,,-49.87447152283342,18.59578736208626,25.151479700394468,80.0,90.0,90.0,10.0,30.0,80.0,60.0,90.0,80.0,80.0,86.0,34.5,78.5,70.5,OVERWEIGHT,2
TXN,2025,17.682,5.001,34.585,13.049037785307839,30.73188717507528,14.460026022842273,28.28299966067187,1.12529957598476,4.352643241532131,0.5112621078502241,2.603,,-71.48331480673055,16.986986986986988,13.197825017840062,70.0,80.0,80.0,80.0,90.0,55.00000000000001,40.0,60.0,70.0,50.0,76.0,77.2,56.0,69.3,OVERWEIGHT,3
QCOM,2025,44.284,5.541,50.143,13.659463066577683,89.34609900183337,11.05039586781804,12.51241983560654,5.7135872886534935,2.8164916885389326,0.8831541790479229,11.9102,31.517026465540603,77.99121872957917,68.94995486912045,18.884070707361502,90.0,55.00000000000001,20.0,0.0,55.00000000000001,90.0,50.0,100.0,100.0,60.0,58.5,41.8,81.5,62.4,NEUTRAL,4
LRCX,2011,3.237693,,,51.7353742848359,,,,,,,,,-63.131130988359274,16.398199099549775,23.941730917204357,55.00000000000001,55.00000000000001,55.00000000000001,44.99999999999999,55.00000000000001,55.00000000000001,90.0,70.0,60.0,70.0,55.0,51.0,72.5,60.1,NEUTRAL,5
AMD,2025,34.639,4.335,76.926,34.33779329067288,6.881061604152447,5.635285859137353,12.514795461762754,,2.850026441036489,0.4502898889842186,6.735,26.79830747531735,-51.413982359163,18.67186718671867,36.78234296340157,30.0,30.0,30.0,44.99999999999999,80.0,30.0,80.0,80.0,90.0,90.0,30.0,53.5,84.0,54.8,NEUTRAL,6
MU,2018,8.44,,,24.06291342054976,,,,,,,,,-95.87300234262874,0.0,11.322477099421919,55.00000000000001,55.00000000000001,55.00000000000001,44.99999999999999,55.00000000000001,55.00000000000001,70.0,20.0,15.0,40.0,55.0,51.0,34.2,46.7,NEUTRAL,7
AVGO,2018,5.444,1.115,,12.386457473162672,4.182766252766628,,20.48126377663483,,,,,,-80.64980840195803,0.10050251256281408,3.02912381291028,20.0,55.00000000000001,70.0,44.99999999999999,55.00000000000001,55.00000000000001,30.0,40.0,30.0,30.0,45.5,51.0,33.5,42.7,NEUTRAL,8
AMAT,2019,3.754,0.698,19.024,-6.477329347284499,8.497686876065254,3.6690496215306982,18.593500266382527,1.316045775505235,2.295030357544412,0.19732968881412952,2.806,98.907831646244,-80.53075204239869,3.8271230940119154,-2.6542740348525147,40.0,20.0,40.0,44.99999999999999,20.0,10.0,10.0,50.0,40.0,20.0,34.0,27.5,33.0,32.0,UNDERWEIGHT,9
INTC,2025,52.853,-0.267,211.429,-0.46703451912393223,-0.23363463742879392,-0.12628352780365987,-0.5051747299112632,,2.017038796516231,0.24997989868939455,-4.949,30.89696380184812,-81.07261667626783,14.122252333634448,-5.0,10.0,10.0,10.0,44.99999999999999,10.0,20.0,20.0,30.0,50.0,10.0,10.0,26.5,29.5,21.0,UNDERWEIGHT,10
